user_id,is_paid,registration_days,source_channel_encoded,has_invitor,is_mobile_user,has_phone,has_email,contact_methods_count,learning_sessions,learning_days,avg_sessions_per_day,total_duration,avg_session_duration,avg_score,max_score,score_std,word_accuracy,sentence_accuracy,total_practices,course_completion_rate,immersive_ratio,total_visits,active_days,visit_frequency,unique_pages,unique_events,is_multi_device,primary_device_encoded,payment_page_visits
2345910,0,-32,0,0,0,0,0,0,1,1,1.0,7,7.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,34,4,8.5,11,2,0,0,0
2149305,0,-175,0,0,0,0,0,0,6,2,3.0,2318,386.3333333333333,37.0,91,37.92097045171708,0.0,0.0,12,0.37,0.8,0,0,0.0,0,0,0,0,0
2083770,0,-74,0,1,0,0,0,0,1,1,1.0,52,52.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,28,1,28.0,8,2,0,2,0
2247610,0,-87,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,54,3,18.0,9,2,0,2,0
2149311,0,-163,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2280389,0,-4,0,1,0,0,0,0,1,1,1.0,171,171.0,3.0,3,0.0,0.0,0.0,2,0.03,0.4,19,1,19.0,5,2,0,2,0
3001287,0,-39,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,5,1,5.0,5,2,0,2,0
2542538,0,-161,0,0,1,0,0,0,1,1,1.0,78,78.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,0,0,0.0,0,0,0,0,0
2345931,0,-168,0,0,0,0,1,1,1,1,1.0,180,180.0,6.0,6,0.0,0.0,0.0,2,0.06,0.4,0,0,0.0,0,0,0,0,0
2182092,0,-17,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,90,2,45.0,21,3,0,1,0
2345932,0,-23,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,27,1,27.0,19,3,0,2,0
2477007,0,9,0,0,0,0,0,0,2,1,2.0,1981,990.5,43.0,86,60.81118318204309,0.0,0.0,4,0.43,0.8,101,2,50.5,19,2,0,2,0
2640854,0,-156,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
3034071,0,-160,0,0,0,0,0,0,5,3,1.6666666666666667,1778,355.6,54.6,72,30.262187627466723,0.0,0.0,10,0.546,0.8,0,0,0.0,0,0,0,0,0
2182103,0,-177,0,0,1,1,0,1,1,1,1.0,2,2.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,0,0,0.0,0,0,0,0,0
2640860,0,-118,0,0,0,1,0,1,2,1,2.0,62,31.0,50.0,100,70.71067811865476,0.0,0.0,4,0.5,0.4,50,1,50.0,19,2,0,2,0
3099613,0,11,0,0,0,1,0,1,1,1,1.0,164,164.0,64.0,64,0.0,0.0,0.0,2,0.64,0.4,30,1,30.0,18,2,0,2,0
2771937,0,-135,0,0,0,0,0,0,1,1,1.0,60,60.0,100.0,100,0.0,0.0,0.0,2,1.0,0.4,59,1,59.0,13,2,0,2,0
